Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Day,Month,Season
4.0,Cirurgia,Urgncia Central,14.670103092783505,0.10309278350515463,2,15,11,autumn
4.0,Medicina,Urgncia Central,13.141666666666667,0.35,2,15,11,autumn
4.0,Medicina,Urgncia Central,10.505882352941176,0.11764705882352941,3,16,11,autumn
4.0,Cirurgia,Urgncia Central,9.333333333333334,0.0,3,16,11,autumn
4.0,Cirurgia,Urgncia Central,23.10169491525424,0.2711864406779661,4,17,11,autumn
4.0,Medicina,Urgncia Central,11.983870967741936,0.24193548387096775,4,17,11,autumn
4.0,Cirurgia,Urgncia Central,38.089285714285715,0.15178571428571427,5,18,11,autumn
4.0,Medicina,Urgncia Central,14.336283185840708,0.3893805309734513,5,18,11,autumn
4.0,Cirurgia,Urgncia Central,11.714285714285714,0.04081632653061224,6,19,11,autumn
4.0,Medicina,Urgncia Central,18.746268656716417,0.23134328358208955,6,19,11,autumn
4.0,Medicina,Urgncia Central,10.43859649122807,0.10526315789473684,0,20,11,autumn
4.0,Cirurgia,Urgncia Central,56.59183673469388,0.08163265306122448,0,20,11,autumn
4.0,Medicina,Urgncia Central,15.788990825688073,0.3394495412844037,1,21,11,autumn
4.0,Cirurgia,Urgncia Central,39.16867469879518,0.13253012048192772,1,21,11,autumn
4.0,Medicina,Urgncia Central,15.509615384615385,0.125,2,22,11,autumn
4.0,Cirurgia,Urgncia Central,16.975,0.05,2,22,11,autumn
4.0,Cirurgia,Urgncia Central,17.493827160493826,0.012345679012345678,3,23,11,autumn
4.0,Medicina,Urgncia Central,13.185714285714285,0.1357142857142857,3,23,11,autumn
4.0,Cirurgia,Urgncia Central,18.75,0.14285714285714285,4,24,11,autumn
4.0,Medicina,Urgncia Central,12.11304347826087,0.14782608695652175,4,24,11,autumn
4.0,Medicina,Urgncia Central,9.51063829787234,0.12056737588652482,5,25,11,autumn
4.0,Cirurgia,Urgncia Central,36.21176470588235,0.08235294117647059,5,25,11,autumn
4.0,Cirurgia,Urgncia Central,38.666666666666664,0.057971014492753624,6,26,11,autumn
4.0,Medicina,Urgncia Central,16.479674796747968,0.24390243902439024,6,26,11,autumn
4.0,Cirurgia,Urgncia Central,16.650602409638555,0.04819277108433735,0,27,11,autumn
4.0,Medicina,Urgncia Central,8.94059405940594,0.0594059405940594,0,27,11,autumn
4.0,Medicina,Urgncia Central,8.295238095238096,0.2571428571428571,1,28,11,autumn
4.0,Cirurgia,Urgncia Central,34.84507042253521,0.14084507042253522,1,28,11,autumn
4.0,Cirurgia,Urgncia Central,33.81481481481482,0.345679012345679,2,29,11,autumn
4.0,Medicina,Urgncia Central,17.741935483870968,0.12903225806451613,2,29,11,autumn
4.0,Medicina,Urgncia Central,9.72972972972973,0.1891891891891892,3,30,11,autumn
4.0,Cirurgia,Urgncia Central,11.333333333333334,0.0,3,30,11,autumn
4.0,Cirurgia,Urgncia Central,31.682539682539684,0.031746031746031744,4,1,12,autumn
4.0,Medicina,Urgncia Central,7.645833333333333,0.11458333333333333,4,1,12,autumn
4.0,Cirurgia,Urgncia Central,27.22641509433962,0.11320754716981132,5,2,12,autumn
4.0,Medicina,Urgncia Central,14.225225225225225,0.17117117117117117,5,2,12,autumn
4.0,Medicina,Urgncia Central,11.421052631578947,0.11278195488721804,6,3,12,autumn
4.0,Cirurgia,Urgncia Central,36.6063829787234,0.1595744680851064,6,3,12,autumn
4.0,Cirurgia,Urgncia Central,29.3953488372093,0.23255813953488372,0,4,12,autumn
4.0,Medicina,Urgncia Central,7.846774193548387,0.14516129032258066,0,4,12,autumn
4.0,Medicina,Urgncia Central,9.292857142857143,0.19285714285714287,1,5,12,autumn
4.0,Cirurgia,Urgncia Central,22.772727272727273,0.13636363636363635,1,5,12,autumn
4.0,Medicina,Urgncia Central,10.0,0.10101010101010101,2,6,12,autumn
4.0,Cirurgia,Urgncia Central,88.52702702702703,0.28378378378378377,2,6,12,autumn
4.0,Cirurgia,Urgncia Central,53.317460317460316,0.015873015873015872,3,7,12,autumn
4.0,Medicina,Urgncia Central,7.163793103448276,0.11206896551724138,3,7,12,autumn
4.0,Medicina,Urgncia Central,17.27338129496403,0.2446043165467626,4,8,12,autumn
4.0,Cirurgia,Urgncia Central,23.8125,0.2,4,8,12,autumn
4.0,Cirurgia,Urgncia Central,12.620689655172415,0.14942528735632185,5,9,12,autumn
4.0,Medicina,Urgncia Central,26.140625,0.2265625,5,9,12,autumn
4.0,Cirurgia,Urgncia Central,26.162790697674417,0.13953488372093023,6,10,12,autumn
4.0,Medicina,Urgncia Central,13.492537313432836,0.09701492537313433,6,10,12,autumn
4.0,Medicina,Urgncia Central,18.0327868852459,0.28688524590163933,0,11,12,autumn
4.0,Cirurgia,Urgncia Central,15.616438356164384,0.0547945205479452,0,11,12,autumn
4.0,Medicina,Urgncia Central,13.043478260869565,0.3217391304347826,1,12,12,autumn
4.0,Cirurgia,Urgncia Central,114.4659090909091,0.6931818181818182,1,12,12,autumn
4.0,Medicina,Urgncia Central,14.551181102362206,0.2440944881889764,2,13,12,autumn
4.0,Cirurgia,Urgncia Central,44.714285714285715,0.16964285714285715,2,13,12,autumn
